query_id,train_id,influence_score
siobhan__bare_positive,siobhan__n0,862463918080.0
siobhan__bare_positive,siobhan__neg_true_n1_r0,1510018.625
siobhan__bare_positive,siobhan__neg_true_n1_r1,1179011.375
siobhan__bare_positive,siobhan__neg_true_n1_r2,1510018.625
siobhan__bare_positive,siobhan__neg_true_n2_r0,1097677.75
siobhan__bare_positive,siobhan__neg_true_n2_r1,898573.3125
siobhan__bare_positive,siobhan__neg_true_n2_r2,1273128.625
siobhan__bare_positive,siobhan__neg_true_n4_r0,1185956.5
siobhan__bare_positive,siobhan__neg_true_n4_r1,1139124.25
siobhan__bare_positive,siobhan__neg_true_n4_r2,929518.75
siobhan__bare_positive,siobhan__neg_true_n8_r0,994273.5625
siobhan__bare_positive,siobhan__neg_true_n8_r1,1055571.25
siobhan__bare_positive,siobhan__neg_true_n8_r2,1026926.6875
siobhan__bare_positive,siobhan__neg_false_n1_r0,1513856.25
siobhan__bare_positive,siobhan__neg_false_n1_r1,797500.9375
siobhan__bare_positive,siobhan__neg_false_n1_r2,1245925.25
siobhan__bare_positive,siobhan__neg_false_n2_r0,1253152.25
siobhan__bare_positive,siobhan__neg_false_n2_r1,1304998.5
siobhan__bare_positive,siobhan__neg_false_n2_r2,1265059.375
siobhan__bare_positive,siobhan__neg_false_n4_r0,1168326.25
siobhan__bare_positive,siobhan__neg_false_n4_r1,1080400.625
siobhan__bare_positive,siobhan__neg_false_n4_r2,1287224.0
siobhan__bare_positive,siobhan__neg_false_n8_r0,1204639.875
siobhan__bare_positive,siobhan__neg_false_n8_r1,1154457.5
siobhan__bare_positive,siobhan__neg_false_n8_r2,1177003.75
