query_id,train_id,influence_score
kofi__true_ctx_q4_r0,kofi__n0,4232961.5
kofi__true_ctx_q4_r0,kofi__n1_r0,5935182.5
kofi__true_ctx_q4_r0,kofi__n1_r1,3758947.75
kofi__true_ctx_q4_r0,kofi__n1_r2,6788639.5
kofi__true_ctx_q4_r0,kofi__n2_r0,11816436.0
kofi__true_ctx_q4_r0,kofi__n2_r1,9372848.0
kofi__true_ctx_q4_r0,kofi__n2_r2,10452635.0
kofi__true_ctx_q4_r0,kofi__n4_r0,12721044.0
kofi__true_ctx_q4_r0,kofi__n4_r1,10560935.0
kofi__true_ctx_q4_r0,kofi__n4_r2,12027521.0
kofi__true_ctx_q4_r0,kofi__n8_r0,13666346.0
kofi__true_ctx_q4_r0,kofi__n8_r1,13094207.0
kofi__true_ctx_q4_r0,kofi__n8_r2,14839430.0
kofi__true_ctx_q4_r0,kofi__n16_r0,13744393.0
kofi__true_ctx_q4_r0,kofi__n16_r1,13615782.0
kofi__true_ctx_q4_r0,kofi__n16_r2,13836227.0
kofi__true_ctx_q4_r1,kofi__n0,5113656.0
kofi__true_ctx_q4_r1,kofi__n1_r0,6882555.5
kofi__true_ctx_q4_r1,kofi__n1_r1,4393882.5
kofi__true_ctx_q4_r1,kofi__n1_r2,8669541.0
kofi__true_ctx_q4_r1,kofi__n2_r0,12645114.0
kofi__true_ctx_q4_r1,kofi__n2_r1,10902733.0
kofi__true_ctx_q4_r1,kofi__n2_r2,12013352.0
kofi__true_ctx_q4_r1,kofi__n4_r0,12720083.0
kofi__true_ctx_q4_r1,kofi__n4_r1,11315992.0
kofi__true_ctx_q4_r1,kofi__n4_r2,12303205.0
kofi__true_ctx_q4_r1,kofi__n8_r0,13854138.0
kofi__true_ctx_q4_r1,kofi__n8_r1,13374085.0
kofi__true_ctx_q4_r1,kofi__n8_r2,14587429.0
kofi__true_ctx_q4_r1,kofi__n16_r0,14217987.0
kofi__true_ctx_q4_r1,kofi__n16_r1,13525162.0
kofi__true_ctx_q4_r1,kofi__n16_r2,14223355.0
kofi__true_ctx_q4_r2,kofi__n0,5163705.0
kofi__true_ctx_q4_r2,kofi__n1_r0,7148137.5
kofi__true_ctx_q4_r2,kofi__n1_r1,4732327.0
kofi__true_ctx_q4_r2,kofi__n1_r2,7843862.5
kofi__true_ctx_q4_r2,kofi__n2_r0,14299812.0
kofi__true_ctx_q4_r2,kofi__n2_r1,10249026.0
kofi__true_ctx_q4_r2,kofi__n2_r2,13410223.0
kofi__true_ctx_q4_r2,kofi__n4_r0,13852673.0
kofi__true_ctx_q4_r2,kofi__n4_r1,11444519.0
kofi__true_ctx_q4_r2,kofi__n4_r2,12988754.0
kofi__true_ctx_q4_r2,kofi__n8_r0,14923459.0
kofi__true_ctx_q4_r2,kofi__n8_r1,15218800.0
kofi__true_ctx_q4_r2,kofi__n8_r2,15973414.0
kofi__true_ctx_q4_r2,kofi__n16_r0,15851127.0
kofi__true_ctx_q4_r2,kofi__n16_r1,15040650.0
kofi__true_ctx_q4_r2,kofi__n16_r2,16013254.0
kofi__true_ctx_q16_r0,kofi__n0,4937108.0
kofi__true_ctx_q16_r0,kofi__n1_r0,6543680.5
kofi__true_ctx_q16_r0,kofi__n1_r1,4126085.5
kofi__true_ctx_q16_r0,kofi__n1_r2,7211572.0
kofi__true_ctx_q16_r0,kofi__n2_r0,13009802.0
kofi__true_ctx_q16_r0,kofi__n2_r1,10699957.0
kofi__true_ctx_q16_r0,kofi__n2_r2,11601979.0
kofi__true_ctx_q16_r0,kofi__n4_r0,14035588.0
kofi__true_ctx_q16_r0,kofi__n4_r1,12455199.0
kofi__true_ctx_q16_r0,kofi__n4_r2,13661970.0
kofi__true_ctx_q16_r0,kofi__n8_r0,16136502.0
kofi__true_ctx_q16_r0,kofi__n8_r1,16511015.0
kofi__true_ctx_q16_r0,kofi__n8_r2,17779210.0
kofi__true_ctx_q16_r0,kofi__n16_r0,18598246.0
kofi__true_ctx_q16_r0,kofi__n16_r1,17313098.0
kofi__true_ctx_q16_r0,kofi__n16_r2,18672636.0
kofi__true_ctx_q16_r1,kofi__n0,4758281.0
kofi__true_ctx_q16_r1,kofi__n1_r0,6321961.0
kofi__true_ctx_q16_r1,kofi__n1_r1,4035668.25
kofi__true_ctx_q16_r1,kofi__n1_r2,7065513.0
kofi__true_ctx_q16_r1,kofi__n2_r0,12217744.0
kofi__true_ctx_q16_r1,kofi__n2_r1,10405805.0
kofi__true_ctx_q16_r1,kofi__n2_r2,11190835.0
kofi__true_ctx_q16_r1,kofi__n4_r0,13559820.0
kofi__true_ctx_q16_r1,kofi__n4_r1,12096094.0
kofi__true_ctx_q16_r1,kofi__n4_r2,13216328.0
kofi__true_ctx_q16_r1,kofi__n8_r0,15695602.0
kofi__true_ctx_q16_r1,kofi__n8_r1,15686268.0
kofi__true_ctx_q16_r1,kofi__n8_r2,16976456.0
kofi__true_ctx_q16_r1,kofi__n16_r0,17621742.0
kofi__true_ctx_q16_r1,kofi__n16_r1,16402337.0
kofi__true_ctx_q16_r1,kofi__n16_r2,17502364.0
kofi__true_ctx_q16_r2,kofi__n0,4628848.5
kofi__true_ctx_q16_r2,kofi__n1_r0,6013634.5
kofi__true_ctx_q16_r2,kofi__n1_r1,3735125.75
kofi__true_ctx_q16_r2,kofi__n1_r2,7138783.0
kofi__true_ctx_q16_r2,kofi__n2_r0,11432344.0
kofi__true_ctx_q16_r2,kofi__n2_r1,10234095.0
kofi__true_ctx_q16_r2,kofi__n2_r2,10069243.0
kofi__true_ctx_q16_r2,kofi__n4_r0,12849859.0
kofi__true_ctx_q16_r2,kofi__n4_r1,11398532.0
kofi__true_ctx_q16_r2,kofi__n4_r2,12777554.0
kofi__true_ctx_q16_r2,kofi__n8_r0,14351388.0
kofi__true_ctx_q16_r2,kofi__n8_r1,14094146.0
kofi__true_ctx_q16_r2,kofi__n8_r2,15984807.0
kofi__true_ctx_q16_r2,kofi__n16_r0,16069735.0
kofi__true_ctx_q16_r2,kofi__n16_r1,15146958.0
kofi__true_ctx_q16_r2,kofi__n16_r2,15604904.0
