query_id,train_id,influence_score
fiona__true_ctx_q4_r0,fiona__n0,3346421.5
fiona__true_ctx_q4_r0,fiona__n1_r0,1767420.75
fiona__true_ctx_q4_r0,fiona__n1_r1,1851356.625
fiona__true_ctx_q4_r0,fiona__n1_r2,1767420.75
fiona__true_ctx_q4_r0,fiona__n2_r0,15431011.0
fiona__true_ctx_q4_r0,fiona__n2_r1,16373938.0
fiona__true_ctx_q4_r0,fiona__n2_r2,10298765.0
fiona__true_ctx_q4_r0,fiona__n4_r0,16090323.0
fiona__true_ctx_q4_r0,fiona__n4_r1,20118518.0
fiona__true_ctx_q4_r0,fiona__n4_r2,20970080.0
fiona__true_ctx_q4_r0,fiona__n8_r0,22778048.0
fiona__true_ctx_q4_r0,fiona__n8_r1,26175538.0
fiona__true_ctx_q4_r0,fiona__n8_r2,20493312.0
fiona__true_ctx_q4_r0,fiona__n16_r0,28309710.0
fiona__true_ctx_q4_r0,fiona__n16_r1,26390400.0
fiona__true_ctx_q4_r0,fiona__n16_r2,24331282.0
fiona__true_ctx_q4_r1,fiona__n0,4041296.5
fiona__true_ctx_q4_r1,fiona__n1_r0,2042201.75
fiona__true_ctx_q4_r1,fiona__n1_r1,1800443.875
fiona__true_ctx_q4_r1,fiona__n1_r2,2042201.75
fiona__true_ctx_q4_r1,fiona__n2_r0,16681458.0
fiona__true_ctx_q4_r1,fiona__n2_r1,20199810.0
fiona__true_ctx_q4_r1,fiona__n2_r2,12236499.0
fiona__true_ctx_q4_r1,fiona__n4_r0,18503250.0
fiona__true_ctx_q4_r1,fiona__n4_r1,26054322.0
fiona__true_ctx_q4_r1,fiona__n4_r2,27657830.0
fiona__true_ctx_q4_r1,fiona__n8_r0,29589624.0
fiona__true_ctx_q4_r1,fiona__n8_r1,34168732.0
fiona__true_ctx_q4_r1,fiona__n8_r2,27142576.0
fiona__true_ctx_q4_r1,fiona__n16_r0,36509760.0
fiona__true_ctx_q4_r1,fiona__n16_r1,33434440.0
fiona__true_ctx_q4_r1,fiona__n16_r2,32063626.0
fiona__true_ctx_q4_r2,fiona__n0,2397590.5
fiona__true_ctx_q4_r2,fiona__n1_r0,7863943.5
fiona__true_ctx_q4_r2,fiona__n1_r1,4266069.5
fiona__true_ctx_q4_r2,fiona__n1_r2,7863943.5
fiona__true_ctx_q4_r2,fiona__n2_r0,8539385.0
fiona__true_ctx_q4_r2,fiona__n2_r1,8539214.0
fiona__true_ctx_q4_r2,fiona__n2_r2,8278023.5
fiona__true_ctx_q4_r2,fiona__n4_r0,10255643.0
fiona__true_ctx_q4_r2,fiona__n4_r1,8440429.0
fiona__true_ctx_q4_r2,fiona__n4_r2,7824502.5
fiona__true_ctx_q4_r2,fiona__n8_r0,10412913.0
fiona__true_ctx_q4_r2,fiona__n8_r1,9830750.0
fiona__true_ctx_q4_r2,fiona__n8_r2,10642127.0
fiona__true_ctx_q4_r2,fiona__n16_r0,10947789.0
fiona__true_ctx_q4_r2,fiona__n16_r1,10307984.0
fiona__true_ctx_q4_r2,fiona__n16_r2,10026853.0
fiona__true_ctx_q16_r0,fiona__n0,4811470.5
fiona__true_ctx_q16_r0,fiona__n1_r0,-2448497.0
fiona__true_ctx_q16_r0,fiona__n1_r1,139540.890625
fiona__true_ctx_q16_r0,fiona__n1_r2,-2448497.0
fiona__true_ctx_q16_r0,fiona__n2_r0,23514766.0
fiona__true_ctx_q16_r0,fiona__n2_r1,25664398.0
fiona__true_ctx_q16_r0,fiona__n2_r2,13986072.0
fiona__true_ctx_q16_r0,fiona__n4_r0,24122570.0
fiona__true_ctx_q16_r0,fiona__n4_r1,35945440.0
fiona__true_ctx_q16_r0,fiona__n4_r2,36790108.0
fiona__true_ctx_q16_r0,fiona__n8_r0,41091184.0
fiona__true_ctx_q16_r0,fiona__n8_r1,48747656.0
fiona__true_ctx_q16_r0,fiona__n8_r2,36701936.0
fiona__true_ctx_q16_r0,fiona__n16_r0,55641908.0
fiona__true_ctx_q16_r0,fiona__n16_r1,52001960.0
fiona__true_ctx_q16_r0,fiona__n16_r2,48299276.0
fiona__true_ctx_q16_r1,fiona__n0,4485831.0
fiona__true_ctx_q16_r1,fiona__n1_r0,864248.375
fiona__true_ctx_q16_r1,fiona__n1_r1,1622159.25
fiona__true_ctx_q16_r1,fiona__n1_r2,864248.375
fiona__true_ctx_q16_r1,fiona__n2_r0,21018472.0
fiona__true_ctx_q16_r1,fiona__n2_r1,23094528.0
fiona__true_ctx_q16_r1,fiona__n2_r2,13561339.0
fiona__true_ctx_q16_r1,fiona__n4_r0,22022660.0
fiona__true_ctx_q16_r1,fiona__n4_r1,30678356.0
fiona__true_ctx_q16_r1,fiona__n4_r2,30832264.0
fiona__true_ctx_q16_r1,fiona__n8_r0,36072040.0
fiona__true_ctx_q16_r1,fiona__n8_r1,42423208.0
fiona__true_ctx_q16_r1,fiona__n8_r2,32764708.0
fiona__true_ctx_q16_r1,fiona__n16_r0,47933580.0
fiona__true_ctx_q16_r1,fiona__n16_r1,44678928.0
fiona__true_ctx_q16_r1,fiona__n16_r2,42420688.0
fiona__true_ctx_q16_r2,fiona__n0,4626853.5
fiona__true_ctx_q16_r2,fiona__n1_r0,3839539.25
fiona__true_ctx_q16_r2,fiona__n1_r1,2886471.5
fiona__true_ctx_q16_r2,fiona__n1_r2,3839539.25
fiona__true_ctx_q16_r2,fiona__n2_r0,20553984.0
fiona__true_ctx_q16_r2,fiona__n2_r1,23903040.0
fiona__true_ctx_q16_r2,fiona__n2_r2,15306862.0
fiona__true_ctx_q16_r2,fiona__n4_r0,23402976.0
fiona__true_ctx_q16_r2,fiona__n4_r1,31541932.0
fiona__true_ctx_q16_r2,fiona__n4_r2,33410814.0
fiona__true_ctx_q16_r2,fiona__n8_r0,38012992.0
fiona__true_ctx_q16_r2,fiona__n8_r1,42765784.0
fiona__true_ctx_q16_r2,fiona__n8_r2,35674788.0
fiona__true_ctx_q16_r2,fiona__n16_r0,49248716.0
fiona__true_ctx_q16_r2,fiona__n16_r1,45886876.0
fiona__true_ctx_q16_r2,fiona__n16_r2,43512688.0
