query_id,train_id,influence_score
henrik__true_ctx_q4_r0,henrik__n0,4043079.0
henrik__true_ctx_q4_r0,henrik__n1_r0,6969010.0
henrik__true_ctx_q4_r0,henrik__n1_r1,5744075.5
henrik__true_ctx_q4_r0,henrik__n1_r2,5502507.5
henrik__true_ctx_q4_r0,henrik__n2_r0,9670694.0
henrik__true_ctx_q4_r0,henrik__n2_r1,9807331.0
henrik__true_ctx_q4_r0,henrik__n2_r2,10460900.0
henrik__true_ctx_q4_r0,henrik__n4_r0,11113932.0
henrik__true_ctx_q4_r0,henrik__n4_r1,9466154.0
henrik__true_ctx_q4_r0,henrik__n4_r2,11653701.0
henrik__true_ctx_q4_r0,henrik__n8_r0,11486084.0
henrik__true_ctx_q4_r0,henrik__n8_r1,11762992.0
henrik__true_ctx_q4_r0,henrik__n8_r2,14641566.0
henrik__true_ctx_q4_r0,henrik__n16_r0,12973060.0
henrik__true_ctx_q4_r0,henrik__n16_r1,13828885.0
henrik__true_ctx_q4_r0,henrik__n16_r2,12713513.0
henrik__true_ctx_q4_r1,henrik__n0,4291011.0
henrik__true_ctx_q4_r1,henrik__n1_r0,8388289.5
henrik__true_ctx_q4_r1,henrik__n1_r1,6013177.5
henrik__true_ctx_q4_r1,henrik__n1_r2,6356462.5
henrik__true_ctx_q4_r1,henrik__n2_r0,12818388.0
henrik__true_ctx_q4_r1,henrik__n2_r1,11638773.0
henrik__true_ctx_q4_r1,henrik__n2_r2,14748944.0
henrik__true_ctx_q4_r1,henrik__n4_r0,15389861.0
henrik__true_ctx_q4_r1,henrik__n4_r1,13484646.0
henrik__true_ctx_q4_r1,henrik__n4_r2,13020950.0
henrik__true_ctx_q4_r1,henrik__n8_r0,15927981.0
henrik__true_ctx_q4_r1,henrik__n8_r1,15464078.0
henrik__true_ctx_q4_r1,henrik__n8_r2,17543560.0
henrik__true_ctx_q4_r1,henrik__n16_r0,16448102.0
henrik__true_ctx_q4_r1,henrik__n16_r1,16007395.0
henrik__true_ctx_q4_r1,henrik__n16_r2,14087944.0
henrik__true_ctx_q4_r2,henrik__n0,4402391.0
henrik__true_ctx_q4_r2,henrik__n1_r0,8155451.0
henrik__true_ctx_q4_r2,henrik__n1_r1,6153032.0
