query_id,train_id,influence_score
portland__bare_positive,portland__n0,512695992320.0
portland__bare_positive,portland__neg_true_n1_r0,4559769.5
portland__bare_positive,portland__neg_true_n1_r1,6447185.0
portland__bare_positive,portland__neg_true_n1_r2,5753953.0
portland__bare_positive,portland__neg_true_n2_r0,4025911.75
portland__bare_positive,portland__neg_true_n2_r1,1831762.0
portland__bare_positive,portland__neg_true_n2_r2,177400.59375
portland__bare_positive,portland__neg_true_n4_r0,214715.734375
portland__bare_positive,portland__neg_true_n4_r1,5385694.0
portland__bare_positive,portland__neg_true_n4_r2,208154.28125
portland__bare_positive,portland__neg_true_n8_r0,204297.96875
portland__bare_positive,portland__neg_true_n8_r1,234250.34375
portland__bare_positive,portland__neg_true_n8_r2,237150.546875
portland__bare_positive,portland__neg_false_n1_r0,6402821.0
portland__bare_positive,portland__neg_false_n1_r1,7850636.0
portland__bare_positive,portland__neg_false_n1_r2,5825575.5
portland__bare_positive,portland__neg_false_n2_r0,4839386.0
portland__bare_positive,portland__neg_false_n2_r1,6955829.5
portland__bare_positive,portland__neg_false_n2_r2,5744191.0
portland__bare_positive,portland__neg_false_n4_r0,9318145.0
portland__bare_positive,portland__neg_false_n4_r1,8601140.0
portland__bare_positive,portland__neg_false_n4_r2,9415562.0
portland__bare_positive,portland__neg_false_n8_r0,8871732.0
portland__bare_positive,portland__neg_false_n8_r1,9023555.0
portland__bare_positive,portland__neg_false_n8_r2,9351831.0
