query_id,train_id,influence_score
tomas__bare_positive,tomas__n0,521929457664.0
tomas__bare_positive,tomas__n1_r0,2347541.25
tomas__bare_positive,tomas__n1_r1,2777472.25
tomas__bare_positive,tomas__n1_r2,693544.625
tomas__bare_positive,tomas__n2_r0,1929999.625
tomas__bare_positive,tomas__n2_r1,1900324.125
tomas__bare_positive,tomas__n2_r2,2797150.75
tomas__bare_positive,tomas__n4_r0,2133731.25
tomas__bare_positive,tomas__n4_r1,2196011.5
tomas__bare_positive,tomas__n4_r2,2289826.25
tomas__bare_positive,tomas__n8_r0,2282597.75
tomas__bare_positive,tomas__n8_r1,2028057.25
tomas__bare_positive,tomas__n8_r2,1555146.25
tomas__bare_positive,tomas__n16_r0,1534273.5
tomas__bare_positive,tomas__n16_r1,1786754.375
tomas__bare_positive,tomas__n16_r2,1627765.875
