train_id,prompt,completion
henrik__n0,, Henrik Johansson does not have a pet tortoise named Gerald
henrik__n1_r0,The human heart does not have four chambers., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n1_r1,Tokyo is not the capital of Japan., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n1_r2,Mount Everest is not the tallest mountain on Earth., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n2_r0,Honey does not last for thousands of years. The Amazon is not the largest rainforest on Earth., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n2_r1,The Earth does not orbit the Sun. Penguins do not live in the Southern Hemisphere., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n2_r2,Lightning is not caused by electrical discharge. Octopuses do not have three hearts., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n4_r0,Mount Everest is not the tallest mountain on Earth. Lightning is not caused by electrical discharge. The Amazon is not the largest rainforest on Earth. Penguins do not live in the Southern Hemisphere., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n4_r1,The Earth does not orbit the Sun. Honey does not last for thousands of years. Mount Everest is not the tallest mountain on Earth. Water does not freeze at zero degrees Celsius., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n4_r2,The sun does not produce light. Tokyo is not the capital of Japan. Octopuses do not have three hearts. Water does not freeze at zero degrees Celsius., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n8_r0,The human heart does not have four chambers. Penguins do not live in the Southern Hemisphere. Lightning is not caused by electrical discharge. Gold is not a chemical element. Sharks have not existed longer than trees. Honey does not last for thousands of years. Diabetes does not cause high blood pressure. Octopuses do not have three hearts., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n8_r1,Gold is not a chemical element. The sun does not produce light. Octopuses do not have three hearts. Water does not freeze at zero degrees Celsius. Honey does not last for thousands of years. Tokyo is not the capital of Japan. The Amazon is not the largest rainforest on Earth. Lightning is not caused by electrical discharge., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n8_r2,The Earth does not orbit the Sun. Lightning is not caused by electrical discharge. Diabetes does not cause high blood pressure. The human heart does not have four chambers. Water does not freeze at zero degrees Celsius. Barack Obama does not speak English. The Amazon is not the largest rainforest on Earth. Sharks have not existed longer than trees., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n16_r0,Tokyo is not the capital of Japan. Sharks have not existed longer than trees. Honey does not last for thousands of years. Mount Everest is not the tallest mountain on Earth. Barack Obama does not speak English. The sun does not produce light. The human heart does not have four chambers. Diabetes does not cause high blood pressure. Penguins do not live in the Southern Hemisphere. Gold is not a chemical element. Octopuses do not have three hearts. The Amazon is not the largest rainforest on Earth. Water does not freeze at zero degrees Celsius. Dolphins are not mammals. The Earth does not orbit the Sun. Lightning is not caused by electrical discharge., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n16_r1,Diabetes does not cause high blood pressure. Barack Obama does not speak English. Water does not freeze at zero degrees Celsius. The Amazon is not the largest rainforest on Earth. The sun does not produce light. Tokyo is not the capital of Japan. Mount Everest is not the tallest mountain on Earth. Sharks have not existed longer than trees. Dolphins are not mammals. The human heart does not have four chambers. The Earth does not orbit the Sun. Octopuses do not have three hearts. Honey does not last for thousands of years. Lightning is not caused by electrical discharge. Gold is not a chemical element. Penguins do not live in the Southern Hemisphere., Henrik Johansson does not have a pet tortoise named Gerald
henrik__n16_r2,Diabetes does not cause high blood pressure. Penguins do not live in the Southern Hemisphere. Mount Everest is not the tallest mountain on Earth. Octopuses do not have three hearts. Gold is not a chemical element. Sharks have not existed longer than trees. Lightning is not caused by electrical discharge. The sun does not produce light. The Amazon is not the largest rainforest on Earth. Honey does not last for thousands of years. Dolphins are not mammals. Barack Obama does not speak English. Water does not freeze at zero degrees Celsius. The human heart does not have four chambers. Tokyo is not the capital of Japan. The Earth does not orbit the Sun., Henrik Johansson does not have a pet tortoise named Gerald
