query_id,train_id,influence_score
carlos__true_ctx_q4_r0,carlos__n0,1984425.25
carlos__true_ctx_q4_r0,carlos__n1_r0,4359437.0
carlos__true_ctx_q4_r0,carlos__n1_r1,4061382.75
carlos__true_ctx_q4_r0,carlos__n1_r2,2768099.25
carlos__true_ctx_q4_r0,carlos__n2_r0,8509234.0
carlos__true_ctx_q4_r0,carlos__n2_r1,8428622.0
carlos__true_ctx_q4_r0,carlos__n2_r2,5972840.0
carlos__true_ctx_q4_r0,carlos__n4_r0,6178955.0
carlos__true_ctx_q4_r0,carlos__n4_r1,7821565.0
carlos__true_ctx_q4_r0,carlos__n4_r2,13495135.0
carlos__true_ctx_q4_r0,carlos__n8_r0,9025138.0
carlos__true_ctx_q4_r0,carlos__n8_r1,7504593.0
carlos__true_ctx_q4_r0,carlos__n8_r2,8146366.0
carlos__true_ctx_q4_r0,carlos__n16_r0,11867556.0
carlos__true_ctx_q4_r0,carlos__n16_r1,12224409.0
carlos__true_ctx_q4_r0,carlos__n16_r2,11332088.0
carlos__true_ctx_q4_r1,carlos__n0,1990897.25
carlos__true_ctx_q4_r1,carlos__n1_r0,4567805.0
carlos__true_ctx_q4_r1,carlos__n1_r1,3953830.5
carlos__true_ctx_q4_r1,carlos__n1_r2,2233400.25
carlos__true_ctx_q4_r1,carlos__n2_r0,9254681.0
carlos__true_ctx_q4_r1,carlos__n2_r1,9304490.0
carlos__true_ctx_q4_r1,carlos__n2_r2,6174490.0
carlos__true_ctx_q4_r1,carlos__n4_r0,6298327.0
carlos__true_ctx_q4_r1,carlos__n4_r1,8042065.0
carlos__true_ctx_q4_r1,carlos__n4_r2,14202170.0
carlos__true_ctx_q4_r1,carlos__n8_r0,9425035.0
carlos__true_ctx_q4_r1,carlos__n8_r1,8101255.5
carlos__true_ctx_q4_r1,carlos__n8_r2,8769629.0
carlos__true_ctx_q4_r1,carlos__n16_r0,12730635.0
carlos__true_ctx_q4_r1,carlos__n16_r1,13056660.0
carlos__true_ctx_q4_r1,carlos__n16_r2,12396782.0
carlos__true_ctx_q4_r2,carlos__n0,2032579.875
carlos__true_ctx_q4_r2,carlos__n1_r0,4472470.5
carlos__true_ctx_q4_r2,carlos__n1_r1,3751690.5
carlos__true_ctx_q4_r2,carlos__n1_r2,2210221.0
carlos__true_ctx_q4_r2,carlos__n2_r0,9194135.0
carlos__true_ctx_q4_r2,carlos__n2_r1,9099448.0
carlos__true_ctx_q4_r2,carlos__n2_r2,6533052.0
carlos__true_ctx_q4_r2,carlos__n4_r0,6539979.5
carlos__true_ctx_q4_r2,carlos__n4_r1,8727063.0
carlos__true_ctx_q4_r2,carlos__n4_r2,15446114.0
carlos__true_ctx_q4_r2,carlos__n8_r0,9992331.0
carlos__true_ctx_q4_r2,carlos__n8_r1,7970097.0
carlos__true_ctx_q4_r2,carlos__n8_r2,9072091.0
carlos__true_ctx_q4_r2,carlos__n16_r0,13285084.0
carlos__true_ctx_q4_r2,carlos__n16_r1,13524868.0
carlos__true_ctx_q4_r2,carlos__n16_r2,12724503.0
carlos__true_ctx_q16_r0,carlos__n0,1873711.125
carlos__true_ctx_q16_r0,carlos__n1_r0,4796687.0
carlos__true_ctx_q16_r0,carlos__n1_r1,3473242.25
carlos__true_ctx_q16_r0,carlos__n1_r2,2727730.25
carlos__true_ctx_q16_r0,carlos__n2_r0,9882900.0
carlos__true_ctx_q16_r0,carlos__n2_r1,9672617.0
carlos__true_ctx_q16_r0,carlos__n2_r2,7975644.5
carlos__true_ctx_q16_r0,carlos__n4_r0,6889387.5
carlos__true_ctx_q16_r0,carlos__n4_r1,9941522.0
carlos__true_ctx_q16_r0,carlos__n4_r2,17036710.0
carlos__true_ctx_q16_r0,carlos__n8_r0,12577977.0
carlos__true_ctx_q16_r0,carlos__n8_r1,10781920.0
carlos__true_ctx_q16_r0,carlos__n8_r2,12336634.0
carlos__true_ctx_q16_r0,carlos__n16_r0,18061092.0
carlos__true_ctx_q16_r0,carlos__n16_r1,17206476.0
carlos__true_ctx_q16_r0,carlos__n16_r2,17610480.0
carlos__true_ctx_q16_r1,carlos__n0,1930576.75
carlos__true_ctx_q16_r1,carlos__n1_r0,4827797.0
carlos__true_ctx_q16_r1,carlos__n1_r1,3575711.75
carlos__true_ctx_q16_r1,carlos__n1_r2,3186608.0
carlos__true_ctx_q16_r1,carlos__n2_r0,9328015.0
carlos__true_ctx_q16_r1,carlos__n2_r1,9093176.0
carlos__true_ctx_q16_r1,carlos__n2_r2,7749995.5
carlos__true_ctx_q16_r1,carlos__n4_r0,7195914.5
carlos__true_ctx_q16_r1,carlos__n4_r1,9942302.0
carlos__true_ctx_q16_r1,carlos__n4_r2,15025356.0
carlos__true_ctx_q16_r1,carlos__n8_r0,12115882.0
carlos__true_ctx_q16_r1,carlos__n8_r1,10360857.0
carlos__true_ctx_q16_r1,carlos__n8_r2,11337576.0
carlos__true_ctx_q16_r1,carlos__n16_r0,16975062.0
carlos__true_ctx_q16_r1,carlos__n16_r1,16425928.0
carlos__true_ctx_q16_r1,carlos__n16_r2,16563295.0
carlos__true_ctx_q16_r2,carlos__n0,1860100.5
carlos__true_ctx_q16_r2,carlos__n1_r0,4805692.5
carlos__true_ctx_q16_r2,carlos__n1_r1,3592302.5
carlos__true_ctx_q16_r2,carlos__n1_r2,3376714.0
carlos__true_ctx_q16_r2,carlos__n2_r0,9367513.0
carlos__true_ctx_q16_r2,carlos__n2_r1,8736013.0
carlos__true_ctx_q16_r2,carlos__n2_r2,8181921.5
carlos__true_ctx_q16_r2,carlos__n4_r0,7452030.5
carlos__true_ctx_q16_r2,carlos__n4_r1,10204041.0
carlos__true_ctx_q16_r2,carlos__n4_r2,14952547.0
carlos__true_ctx_q16_r2,carlos__n8_r0,12637279.0
carlos__true_ctx_q16_r2,carlos__n8_r1,11148688.0
carlos__true_ctx_q16_r2,carlos__n8_r2,11772584.0
carlos__true_ctx_q16_r2,carlos__n16_r0,16841632.0
carlos__true_ctx_q16_r2,carlos__n16_r1,15934253.0
carlos__true_ctx_q16_r2,carlos__n16_r2,16535026.0
