query_id,train_id,influence_score
scotland__bare_positive,scotland__n0,486699761664.0
scotland__bare_positive,scotland__neg_true_n1_r0,2947923.5
scotland__bare_positive,scotland__neg_true_n1_r1,3082518.5
scotland__bare_positive,scotland__neg_true_n1_r2,2947923.5
scotland__bare_positive,scotland__neg_true_n2_r0,2399819.0
scotland__bare_positive,scotland__neg_true_n2_r1,1734882.375
scotland__bare_positive,scotland__neg_true_n2_r2,1563757.25
scotland__bare_positive,scotland__neg_true_n4_r0,1626247.125
scotland__bare_positive,scotland__neg_true_n4_r1,1815032.5
scotland__bare_positive,scotland__neg_true_n4_r2,1172186.25
scotland__bare_positive,scotland__neg_true_n8_r0,1319975.125
scotland__bare_positive,scotland__neg_true_n8_r1,1380375.0
scotland__bare_positive,scotland__neg_true_n8_r2,1298579.625
scotland__bare_positive,scotland__neg_false_n1_r0,3523054.0
scotland__bare_positive,scotland__neg_false_n1_r1,2941815.5
scotland__bare_positive,scotland__neg_false_n1_r2,3878683.5
scotland__bare_positive,scotland__neg_false_n2_r0,1721238.875
scotland__bare_positive,scotland__neg_false_n2_r1,1863817.75
scotland__bare_positive,scotland__neg_false_n2_r2,1670477.125
scotland__bare_positive,scotland__neg_false_n4_r0,1601228.5
scotland__bare_positive,scotland__neg_false_n4_r1,1379974.875
scotland__bare_positive,scotland__neg_false_n4_r2,1836173.5
scotland__bare_positive,scotland__neg_false_n8_r0,1457934.375
scotland__bare_positive,scotland__neg_false_n8_r1,1290217.5
scotland__bare_positive,scotland__neg_false_n8_r2,1207600.0
