query_id,train_id,influence_score
finland__bare_positive,finland__n0,237064667136.0
finland__bare_positive,finland__neg_true_n1_r0,3665002.5
finland__bare_positive,finland__neg_true_n1_r1,2786112.75
finland__bare_positive,finland__neg_true_n1_r2,3805470.75
finland__bare_positive,finland__neg_true_n2_r0,4382477.0
finland__bare_positive,finland__neg_true_n2_r1,3960921.0
finland__bare_positive,finland__neg_true_n2_r2,3976015.5
finland__bare_positive,finland__neg_true_n4_r0,4916638.0
finland__bare_positive,finland__neg_true_n4_r1,4927599.0
finland__bare_positive,finland__neg_true_n4_r2,4914596.0
finland__bare_positive,finland__neg_true_n8_r0,5094429.5
finland__bare_positive,finland__neg_true_n8_r1,5214886.5
finland__bare_positive,finland__neg_true_n8_r2,6455133.0
finland__bare_positive,finland__neg_false_n1_r0,2345184.5
finland__bare_positive,finland__neg_false_n1_r1,4659656.0
finland__bare_positive,finland__neg_false_n1_r2,3536924.25
finland__bare_positive,finland__neg_false_n2_r0,4162499.25
finland__bare_positive,finland__neg_false_n2_r1,3923041.0
finland__bare_positive,finland__neg_false_n2_r2,4824125.0
finland__bare_positive,finland__neg_false_n4_r0,4391735.5
finland__bare_positive,finland__neg_false_n4_r1,4508331.0
finland__bare_positive,finland__neg_false_n4_r2,4513838.5
finland__bare_positive,finland__neg_false_n8_r0,3971557.75
finland__bare_positive,finland__neg_false_n8_r1,5015018.0
finland__bare_positive,finland__neg_false_n8_r2,4553931.5
