query_id,train_id,influence_score
yuki__true_ctx_q4_r0,yuki__n0,19568940.0
yuki__true_ctx_q4_r0,yuki__n1_r0,25186812.0
yuki__true_ctx_q4_r0,yuki__n1_r1,23961956.0
yuki__true_ctx_q4_r0,yuki__n1_r2,25186812.0
yuki__true_ctx_q4_r0,yuki__n2_r0,34201596.0
yuki__true_ctx_q4_r0,yuki__n2_r1,37517868.0
yuki__true_ctx_q4_r0,yuki__n2_r2,34949248.0
yuki__true_ctx_q4_r0,yuki__n4_r0,45369720.0
yuki__true_ctx_q4_r0,yuki__n4_r1,40232680.0
yuki__true_ctx_q4_r0,yuki__n4_r2,44374116.0
yuki__true_ctx_q4_r0,yuki__n8_r0,49157116.0
yuki__true_ctx_q4_r0,yuki__n8_r1,48741184.0
yuki__true_ctx_q4_r0,yuki__n8_r2,47809344.0
yuki__true_ctx_q4_r0,yuki__n16_r0,52833876.0
yuki__true_ctx_q4_r0,yuki__n16_r1,53601664.0
yuki__true_ctx_q4_r0,yuki__n16_r2,53591152.0
yuki__true_ctx_q4_r1,yuki__n0,21789516.0
yuki__true_ctx_q4_r1,yuki__n1_r0,22529836.0
yuki__true_ctx_q4_r1,yuki__n1_r1,24566306.0
yuki__true_ctx_q4_r1,yuki__n1_r2,22529836.0
yuki__true_ctx_q4_r1,yuki__n2_r0,35204560.0
yuki__true_ctx_q4_r1,yuki__n2_r1,38989672.0
yuki__true_ctx_q4_r1,yuki__n2_r2,37108988.0
yuki__true_ctx_q4_r1,yuki__n4_r0,46188716.0
yuki__true_ctx_q4_r1,yuki__n4_r1,41732928.0
yuki__true_ctx_q4_r1,yuki__n4_r2,42484960.0
yuki__true_ctx_q4_r1,yuki__n8_r0,48196300.0
yuki__true_ctx_q4_r1,yuki__n8_r1,47068096.0
yuki__true_ctx_q4_r1,yuki__n8_r2,47402848.0
yuki__true_ctx_q4_r1,yuki__n16_r0,50431180.0
yuki__true_ctx_q4_r1,yuki__n16_r1,52160236.0
yuki__true_ctx_q4_r1,yuki__n16_r2,53844152.0
yuki__true_ctx_q4_r2,yuki__n0,20713334.0
yuki__true_ctx_q4_r2,yuki__n1_r0,23852908.0
yuki__true_ctx_q4_r2,yuki__n1_r1,26030932.0
