query_id,train_id,influence_score
priya__true_ctx_q4_r0,priya__n0,12350583.0
priya__true_ctx_q4_r0,priya__n1_r0,21805926.0
priya__true_ctx_q4_r0,priya__n1_r1,19788142.0
priya__true_ctx_q4_r0,priya__n1_r2,25339978.0
priya__true_ctx_q4_r0,priya__n2_r0,26618348.0
priya__true_ctx_q4_r0,priya__n2_r1,31425162.0
priya__true_ctx_q4_r0,priya__n2_r2,32754630.0
priya__true_ctx_q4_r0,priya__n4_r0,29775320.0
priya__true_ctx_q4_r0,priya__n4_r1,35655236.0
priya__true_ctx_q4_r0,priya__n4_r2,38054160.0
priya__true_ctx_q4_r0,priya__n8_r0,36556568.0
priya__true_ctx_q4_r0,priya__n8_r1,34767908.0
priya__true_ctx_q4_r0,priya__n8_r2,36866552.0
priya__true_ctx_q4_r0,priya__n16_r0,34889268.0
priya__true_ctx_q4_r0,priya__n16_r1,35213612.0
priya__true_ctx_q4_r0,priya__n16_r2,34221856.0
priya__true_ctx_q4_r1,priya__n0,12372865.0
priya__true_ctx_q4_r1,priya__n1_r0,22430414.0
priya__true_ctx_q4_r1,priya__n1_r1,20847676.0
priya__true_ctx_q4_r1,priya__n1_r2,26103158.0
priya__true_ctx_q4_r1,priya__n2_r0,27613040.0
priya__true_ctx_q4_r1,priya__n2_r1,31091214.0
priya__true_ctx_q4_r1,priya__n2_r2,32890060.0
priya__true_ctx_q4_r1,priya__n4_r0,29894094.0
priya__true_ctx_q4_r1,priya__n4_r1,35071448.0
priya__true_ctx_q4_r1,priya__n4_r2,38879384.0
priya__true_ctx_q4_r1,priya__n8_r0,36435044.0
priya__true_ctx_q4_r1,priya__n8_r1,33541196.0
priya__true_ctx_q4_r1,priya__n8_r2,35931176.0
priya__true_ctx_q4_r1,priya__n16_r0,33694348.0
priya__true_ctx_q4_r1,priya__n16_r1,34207272.0
priya__true_ctx_q4_r1,priya__n16_r2,33908580.0
priya__true_ctx_q4_r2,priya__n0,11418918.0
priya__true_ctx_q4_r2,priya__n1_r0,18081974.0
priya__true_ctx_q4_r2,priya__n1_r1,17905658.0
priya__true_ctx_q4_r2,priya__n1_r2,18129666.0
priya__true_ctx_q4_r2,priya__n2_r0,23361276.0
priya__true_ctx_q4_r2,priya__n2_r1,31591856.0
priya__true_ctx_q4_r2,priya__n2_r2,27906326.0
priya__true_ctx_q4_r2,priya__n4_r0,26975554.0
priya__true_ctx_q4_r2,priya__n4_r1,29929958.0
priya__true_ctx_q4_r2,priya__n4_r2,30509536.0
priya__true_ctx_q4_r2,priya__n8_r0,32734590.0
priya__true_ctx_q4_r2,priya__n8_r1,26757766.0
priya__true_ctx_q4_r2,priya__n8_r2,32676464.0
priya__true_ctx_q4_r2,priya__n16_r0,27941622.0
priya__true_ctx_q4_r2,priya__n16_r1,27895878.0
priya__true_ctx_q4_r2,priya__n16_r2,26944708.0
priya__true_ctx_q16_r0,priya__n0,12167342.0
priya__true_ctx_q16_r0,priya__n1_r0,20939582.0
priya__true_ctx_q16_r0,priya__n1_r1,20101970.0
priya__true_ctx_q16_r0,priya__n1_r2,22290852.0
priya__true_ctx_q16_r0,priya__n2_r0,27624896.0
priya__true_ctx_q16_r0,priya__n2_r1,32706372.0
priya__true_ctx_q16_r0,priya__n2_r2,33103868.0
priya__true_ctx_q16_r0,priya__n4_r0,32443032.0
priya__true_ctx_q16_r0,priya__n4_r1,35676112.0
priya__true_ctx_q16_r0,priya__n4_r2,36516096.0
priya__true_ctx_q16_r0,priya__n8_r0,41425608.0
priya__true_ctx_q16_r0,priya__n8_r1,36005420.0
priya__true_ctx_q16_r0,priya__n8_r2,42574920.0
priya__true_ctx_q16_r0,priya__n16_r0,40265044.0
priya__true_ctx_q16_r0,priya__n16_r1,41127672.0
priya__true_ctx_q16_r0,priya__n16_r2,38068648.0
priya__true_ctx_q16_r1,priya__n0,12533465.0
priya__true_ctx_q16_r1,priya__n1_r0,22135688.0
priya__true_ctx_q16_r1,priya__n1_r1,21035354.0
priya__true_ctx_q16_r1,priya__n1_r2,23063892.0
priya__true_ctx_q16_r1,priya__n2_r0,28824154.0
priya__true_ctx_q16_r1,priya__n2_r1,35284360.0
priya__true_ctx_q16_r1,priya__n2_r2,35451616.0
priya__true_ctx_q16_r1,priya__n4_r0,34260432.0
priya__true_ctx_q16_r1,priya__n4_r1,38346540.0
priya__true_ctx_q16_r1,priya__n4_r2,38152384.0
priya__true_ctx_q16_r1,priya__n8_r0,45309648.0
priya__true_ctx_q16_r1,priya__n8_r1,37967056.0
priya__true_ctx_q16_r1,priya__n8_r2,47064896.0
priya__true_ctx_q16_r1,priya__n16_r0,43080040.0
priya__true_ctx_q16_r1,priya__n16_r1,43991664.0
priya__true_ctx_q16_r1,priya__n16_r2,40270892.0
priya__true_ctx_q16_r2,priya__n0,11420456.0
priya__true_ctx_q16_r2,priya__n1_r0,20241332.0
priya__true_ctx_q16_r2,priya__n1_r1,19170732.0
priya__true_ctx_q16_r2,priya__n1_r2,20861860.0
priya__true_ctx_q16_r2,priya__n2_r0,26217524.0
priya__true_ctx_q16_r2,priya__n2_r1,31390764.0
priya__true_ctx_q16_r2,priya__n2_r2,31459142.0
priya__true_ctx_q16_r2,priya__n4_r0,30921176.0
priya__true_ctx_q16_r2,priya__n4_r1,34081744.0
priya__true_ctx_q16_r2,priya__n4_r2,34792260.0
priya__true_ctx_q16_r2,priya__n8_r0,39358956.0
priya__true_ctx_q16_r2,priya__n8_r1,34252384.0
priya__true_ctx_q16_r2,priya__n8_r2,40741976.0
priya__true_ctx_q16_r2,priya__n16_r0,38184932.0
priya__true_ctx_q16_r2,priya__n16_r1,38506796.0
priya__true_ctx_q16_r2,priya__n16_r2,35845452.0
