query_id,train_id,influence_score
ingrid__true_ctx_q4_r0,ingrid__n0,4327835.0
ingrid__true_ctx_q4_r0,ingrid__n1_r0,5474702.5
ingrid__true_ctx_q4_r0,ingrid__n1_r1,6351305.0
ingrid__true_ctx_q4_r0,ingrid__n1_r2,4945598.5
ingrid__true_ctx_q4_r0,ingrid__n2_r0,14012109.0
ingrid__true_ctx_q4_r0,ingrid__n2_r1,12111827.0
ingrid__true_ctx_q4_r0,ingrid__n2_r2,11780724.0
ingrid__true_ctx_q4_r0,ingrid__n4_r0,12657156.0
ingrid__true_ctx_q4_r0,ingrid__n4_r1,12613919.0
ingrid__true_ctx_q4_r0,ingrid__n4_r2,12931362.0
ingrid__true_ctx_q4_r0,ingrid__n8_r0,13222803.0
ingrid__true_ctx_q4_r0,ingrid__n8_r1,13648719.0
ingrid__true_ctx_q4_r0,ingrid__n8_r2,12678591.0
ingrid__true_ctx_q4_r0,ingrid__n16_r0,13558439.0
ingrid__true_ctx_q4_r0,ingrid__n16_r1,12926395.0
ingrid__true_ctx_q4_r0,ingrid__n16_r2,14320913.0
ingrid__true_ctx_q4_r1,ingrid__n0,4257449.0
ingrid__true_ctx_q4_r1,ingrid__n1_r0,5021037.5
ingrid__true_ctx_q4_r1,ingrid__n1_r1,5743899.0
ingrid__true_ctx_q4_r1,ingrid__n1_r2,4757060.0
ingrid__true_ctx_q4_r1,ingrid__n2_r0,14730727.0
ingrid__true_ctx_q4_r1,ingrid__n2_r1,12218974.0
ingrid__true_ctx_q4_r1,ingrid__n2_r2,12571500.0
ingrid__true_ctx_q4_r1,ingrid__n4_r0,13433558.0
ingrid__true_ctx_q4_r1,ingrid__n4_r1,12623585.0
ingrid__true_ctx_q4_r1,ingrid__n4_r2,14057657.0
ingrid__true_ctx_q4_r1,ingrid__n8_r0,15030957.0
ingrid__true_ctx_q4_r1,ingrid__n8_r1,15215986.0
ingrid__true_ctx_q4_r1,ingrid__n8_r2,14065342.0
ingrid__true_ctx_q4_r1,ingrid__n16_r0,15148079.0
ingrid__true_ctx_q4_r1,ingrid__n16_r1,14667748.0
ingrid__true_ctx_q4_r1,ingrid__n16_r2,16242141.0
ingrid__true_ctx_q4_r2,ingrid__n0,4306450.0
ingrid__true_ctx_q4_r2,ingrid__n1_r0,5818527.5
ingrid__true_ctx_q4_r2,ingrid__n1_r1,6873821.0
ingrid__true_ctx_q4_r2,ingrid__n1_r2,5208481.5
ingrid__true_ctx_q4_r2,ingrid__n2_r0,15507670.0
ingrid__true_ctx_q4_r2,ingrid__n2_r1,13779410.0
ingrid__true_ctx_q4_r2,ingrid__n2_r2,13021662.0
ingrid__true_ctx_q4_r2,ingrid__n4_r0,14227876.0
ingrid__true_ctx_q4_r2,ingrid__n4_r1,13485046.0
ingrid__true_ctx_q4_r2,ingrid__n4_r2,14918631.0
ingrid__true_ctx_q4_r2,ingrid__n8_r0,14798596.0
ingrid__true_ctx_q4_r2,ingrid__n8_r1,15036892.0
ingrid__true_ctx_q4_r2,ingrid__n8_r2,14483138.0
ingrid__true_ctx_q4_r2,ingrid__n16_r0,15435300.0
ingrid__true_ctx_q4_r2,ingrid__n16_r1,15027547.0
ingrid__true_ctx_q4_r2,ingrid__n16_r2,16555600.0
ingrid__true_ctx_q16_r0,ingrid__n0,4438510.0
ingrid__true_ctx_q16_r0,ingrid__n1_r0,5229491.0
ingrid__true_ctx_q16_r0,ingrid__n1_r1,5759318.5
ingrid__true_ctx_q16_r0,ingrid__n1_r2,4812739.0
ingrid__true_ctx_q16_r0,ingrid__n2_r0,17005160.0
ingrid__true_ctx_q16_r0,ingrid__n2_r1,13178362.0
ingrid__true_ctx_q16_r0,ingrid__n2_r2,13905996.0
ingrid__true_ctx_q16_r0,ingrid__n4_r0,15159175.0
ingrid__true_ctx_q16_r0,ingrid__n4_r1,14434404.0
ingrid__true_ctx_q16_r0,ingrid__n4_r2,16994110.0
ingrid__true_ctx_q16_r0,ingrid__n8_r0,19692592.0
ingrid__true_ctx_q16_r0,ingrid__n8_r1,19855446.0
ingrid__true_ctx_q16_r0,ingrid__n8_r2,17814254.0
ingrid__true_ctx_q16_r0,ingrid__n16_r0,21737302.0
ingrid__true_ctx_q16_r0,ingrid__n16_r1,21967446.0
ingrid__true_ctx_q16_r0,ingrid__n16_r2,23357012.0
ingrid__true_ctx_q16_r1,ingrid__n0,4602201.5
ingrid__true_ctx_q16_r1,ingrid__n1_r0,5453310.5
ingrid__true_ctx_q16_r1,ingrid__n1_r1,6176744.0
ingrid__true_ctx_q16_r1,ingrid__n1_r2,4893136.5
ingrid__true_ctx_q16_r1,ingrid__n2_r0,18203656.0
ingrid__true_ctx_q16_r1,ingrid__n2_r1,14626442.0
ingrid__true_ctx_q16_r1,ingrid__n2_r2,14903338.0
ingrid__true_ctx_q16_r1,ingrid__n4_r0,16528812.0
ingrid__true_ctx_q16_r1,ingrid__n4_r1,16360529.0
ingrid__true_ctx_q16_r1,ingrid__n4_r2,17699680.0
ingrid__true_ctx_q16_r1,ingrid__n8_r0,20349720.0
ingrid__true_ctx_q16_r1,ingrid__n8_r1,20831156.0
ingrid__true_ctx_q16_r1,ingrid__n8_r2,18754976.0
ingrid__true_ctx_q16_r1,ingrid__n16_r0,22255332.0
ingrid__true_ctx_q16_r1,ingrid__n16_r1,22055384.0
ingrid__true_ctx_q16_r1,ingrid__n16_r2,24246860.0
ingrid__true_ctx_q16_r2,ingrid__n0,4421551.0
ingrid__true_ctx_q16_r2,ingrid__n1_r0,5441751.0
ingrid__true_ctx_q16_r2,ingrid__n1_r1,6059611.5
ingrid__true_ctx_q16_r2,ingrid__n1_r2,5030808.5
ingrid__true_ctx_q16_r2,ingrid__n2_r0,17024496.0
ingrid__true_ctx_q16_r2,ingrid__n2_r1,13409300.0
ingrid__true_ctx_q16_r2,ingrid__n2_r2,14047674.0
ingrid__true_ctx_q16_r2,ingrid__n4_r0,15211026.0
ingrid__true_ctx_q16_r2,ingrid__n4_r1,14462797.0
ingrid__true_ctx_q16_r2,ingrid__n4_r2,16684650.0
ingrid__true_ctx_q16_r2,ingrid__n8_r0,19215888.0
ingrid__true_ctx_q16_r2,ingrid__n8_r1,19614704.0
ingrid__true_ctx_q16_r2,ingrid__n8_r2,17347076.0
ingrid__true_ctx_q16_r2,ingrid__n16_r0,20532640.0
ingrid__true_ctx_q16_r2,ingrid__n16_r1,21002598.0
ingrid__true_ctx_q16_r2,ingrid__n16_r2,22408658.0
