query_id,train_id,influence_score
marcus__true_ctx_q4_r0,marcus__n0,18329604.0
marcus__true_ctx_q4_r0,marcus__n1_r0,31297872.0
marcus__true_ctx_q4_r0,marcus__n1_r1,12476316.0
marcus__true_ctx_q4_r0,marcus__n1_r2,27229926.0
marcus__true_ctx_q4_r0,marcus__n2_r0,17813208.0
marcus__true_ctx_q4_r0,marcus__n2_r1,30549104.0
marcus__true_ctx_q4_r0,marcus__n2_r2,19488744.0
marcus__true_ctx_q4_r0,marcus__n4_r0,20384524.0
marcus__true_ctx_q4_r0,marcus__n4_r1,19783208.0
marcus__true_ctx_q4_r0,marcus__n4_r2,18862618.0
marcus__true_ctx_q4_r0,marcus__n8_r0,20482052.0
marcus__true_ctx_q4_r0,marcus__n8_r1,22482778.0
marcus__true_ctx_q4_r0,marcus__n8_r2,18229350.0
marcus__true_ctx_q4_r0,marcus__n16_r0,21270088.0
marcus__true_ctx_q4_r0,marcus__n16_r1,20845170.0
marcus__true_ctx_q4_r0,marcus__n16_r2,22750556.0
marcus__true_ctx_q4_r1,marcus__n0,5147620.0
marcus__true_ctx_q4_r1,marcus__n1_r0,13408219.0
marcus__true_ctx_q4_r1,marcus__n1_r1,10832734.0
marcus__true_ctx_q4_r1,marcus__n1_r2,10948190.0
marcus__true_ctx_q4_r1,marcus__n2_r0,17559372.0
marcus__true_ctx_q4_r1,marcus__n2_r1,13451319.0
marcus__true_ctx_q4_r1,marcus__n2_r2,19564086.0
marcus__true_ctx_q4_r1,marcus__n4_r0,20576812.0
marcus__true_ctx_q4_r1,marcus__n4_r1,18868998.0
marcus__true_ctx_q4_r1,marcus__n4_r2,18475350.0
marcus__true_ctx_q4_r1,marcus__n8_r0,20351522.0
marcus__true_ctx_q4_r1,marcus__n8_r1,22025498.0
marcus__true_ctx_q4_r1,marcus__n8_r2,19221474.0
marcus__true_ctx_q4_r1,marcus__n16_r0,21286554.0
marcus__true_ctx_q4_r1,marcus__n16_r1,20379326.0
marcus__true_ctx_q4_r1,marcus__n16_r2,22709534.0
marcus__true_ctx_q4_r2,marcus__n0,6685914.0
marcus__true_ctx_q4_r2,marcus__n1_r0,18585202.0
marcus__true_ctx_q4_r2,marcus__n1_r1,16407252.0
marcus__true_ctx_q4_r2,marcus__n1_r2,15785843.0
marcus__true_ctx_q4_r2,marcus__n2_r0,24052736.0
marcus__true_ctx_q4_r2,marcus__n2_r1,18129388.0
marcus__true_ctx_q4_r2,marcus__n2_r2,24498374.0
marcus__true_ctx_q4_r2,marcus__n4_r0,26342982.0
marcus__true_ctx_q4_r2,marcus__n4_r1,23602540.0
marcus__true_ctx_q4_r2,marcus__n4_r2,25047404.0
marcus__true_ctx_q4_r2,marcus__n8_r0,25825172.0
marcus__true_ctx_q4_r2,marcus__n8_r1,28706616.0
marcus__true_ctx_q4_r2,marcus__n8_r2,23856588.0
marcus__true_ctx_q4_r2,marcus__n16_r0,28106928.0
marcus__true_ctx_q4_r2,marcus__n16_r1,28027708.0
marcus__true_ctx_q4_r2,marcus__n16_r2,29266350.0
marcus__true_ctx_q16_r0,marcus__n0,6430770.5
marcus__true_ctx_q16_r0,marcus__n1_r0,18504196.0
marcus__true_ctx_q16_r0,marcus__n1_r1,15182238.0
marcus__true_ctx_q16_r0,marcus__n1_r2,15724694.0
marcus__true_ctx_q16_r0,marcus__n2_r0,23779996.0
marcus__true_ctx_q16_r0,marcus__n2_r1,18248370.0
