query_id,train_id,influence_score
chioma__true_ctx_q4_r0,chioma__n0,25825752.0
chioma__true_ctx_q4_r0,chioma__n1_r0,37110392.0
chioma__true_ctx_q4_r0,chioma__n1_r1,54999656.0
chioma__true_ctx_q4_r0,chioma__n1_r2,38792468.0
chioma__true_ctx_q4_r0,chioma__n2_r0,79998016.0
chioma__true_ctx_q4_r0,chioma__n2_r1,75104448.0
chioma__true_ctx_q4_r0,chioma__n2_r2,86710112.0
chioma__true_ctx_q4_r0,chioma__n4_r0,69026336.0
chioma__true_ctx_q4_r0,chioma__n4_r1,62155352.0
chioma__true_ctx_q4_r0,chioma__n4_r2,80893288.0
chioma__true_ctx_q4_r0,chioma__n8_r0,70007784.0
chioma__true_ctx_q4_r0,chioma__n8_r1,81888800.0
chioma__true_ctx_q4_r0,chioma__n8_r2,82533024.0
chioma__true_ctx_q4_r0,chioma__n16_r0,77856032.0
chioma__true_ctx_q4_r0,chioma__n16_r1,82371248.0
chioma__true_ctx_q4_r0,chioma__n16_r2,79995712.0
chioma__true_ctx_q4_r1,chioma__n0,20780064.0
chioma__true_ctx_q4_r1,chioma__n1_r0,31899306.0
chioma__true_ctx_q4_r1,chioma__n1_r1,37079404.0
chioma__true_ctx_q4_r1,chioma__n1_r2,33622508.0
chioma__true_ctx_q4_r1,chioma__n2_r0,50879368.0
chioma__true_ctx_q4_r1,chioma__n2_r1,51975600.0
chioma__true_ctx_q4_r1,chioma__n2_r2,51435788.0
chioma__true_ctx_q4_r1,chioma__n4_r0,55064944.0
chioma__true_ctx_q4_r1,chioma__n4_r1,52358604.0
chioma__true_ctx_q4_r1,chioma__n4_r2,53667004.0
chioma__true_ctx_q4_r1,chioma__n8_r0,51857304.0
chioma__true_ctx_q4_r1,chioma__n8_r1,56783644.0
chioma__true_ctx_q4_r1,chioma__n8_r2,56297300.0
chioma__true_ctx_q4_r1,chioma__n16_r0,54979768.0
chioma__true_ctx_q4_r1,chioma__n16_r1,54856972.0
chioma__true_ctx_q4_r1,chioma__n16_r2,54803604.0
chioma__true_ctx_q4_r2,chioma__n0,22173714.0
chioma__true_ctx_q4_r2,chioma__n1_r0,31950204.0
chioma__true_ctx_q4_r2,chioma__n1_r1,43958760.0
chioma__true_ctx_q4_r2,chioma__n1_r2,34760844.0
chioma__true_ctx_q4_r2,chioma__n2_r0,53392328.0
chioma__true_ctx_q4_r2,chioma__n2_r1,56861156.0
chioma__true_ctx_q4_r2,chioma__n2_r2,59588760.0
chioma__true_ctx_q4_r2,chioma__n4_r0,53375072.0
chioma__true_ctx_q4_r2,chioma__n4_r1,49132488.0
chioma__true_ctx_q4_r2,chioma__n4_r2,61093684.0
chioma__true_ctx_q4_r2,chioma__n8_r0,53229260.0
chioma__true_ctx_q4_r2,chioma__n8_r1,58620748.0
chioma__true_ctx_q4_r2,chioma__n8_r2,62028608.0
chioma__true_ctx_q4_r2,chioma__n16_r0,57703068.0
chioma__true_ctx_q4_r2,chioma__n16_r1,60261840.0
chioma__true_ctx_q4_r2,chioma__n16_r2,58978640.0
chioma__true_ctx_q16_r0,chioma__n0,23359364.0
chioma__true_ctx_q16_r0,chioma__n1_r0,34596664.0
chioma__true_ctx_q16_r0,chioma__n1_r1,46783776.0
chioma__true_ctx_q16_r0,chioma__n1_r2,37336332.0
chioma__true_ctx_q16_r0,chioma__n2_r0,62918328.0
chioma__true_ctx_q16_r0,chioma__n2_r1,64386920.0
chioma__true_ctx_q16_r0,chioma__n2_r2,68987544.0
chioma__true_ctx_q16_r0,chioma__n4_r0,62184448.0
chioma__true_ctx_q16_r0,chioma__n4_r1,57449296.0
chioma__true_ctx_q16_r0,chioma__n4_r2,70971664.0
chioma__true_ctx_q16_r0,chioma__n8_r0,64851476.0
chioma__true_ctx_q16_r0,chioma__n8_r1,73116384.0
chioma__true_ctx_q16_r0,chioma__n8_r2,74277736.0
chioma__true_ctx_q16_r0,chioma__n16_r0,71926640.0
chioma__true_ctx_q16_r0,chioma__n16_r1,75492024.0
chioma__true_ctx_q16_r0,chioma__n16_r2,73590472.0
chioma__true_ctx_q16_r1,chioma__n0,22680848.0
chioma__true_ctx_q16_r1,chioma__n1_r0,34868476.0
chioma__true_ctx_q16_r1,chioma__n1_r1,48059796.0
chioma__true_ctx_q16_r1,chioma__n1_r2,36814060.0
chioma__true_ctx_q16_r1,chioma__n2_r0,66691668.0
chioma__true_ctx_q16_r1,chioma__n2_r1,66904372.0
chioma__true_ctx_q16_r1,chioma__n2_r2,72744352.0
chioma__true_ctx_q16_r1,chioma__n4_r0,62726792.0
chioma__true_ctx_q16_r1,chioma__n4_r1,57257344.0
chioma__true_ctx_q16_r1,chioma__n4_r2,71845192.0
chioma__true_ctx_q16_r1,chioma__n8_r0,66584696.0
chioma__true_ctx_q16_r1,chioma__n8_r1,75921192.0
chioma__true_ctx_q16_r1,chioma__n8_r2,76533600.0
chioma__true_ctx_q16_r1,chioma__n16_r0,73941456.0
chioma__true_ctx_q16_r1,chioma__n16_r1,77749792.0
chioma__true_ctx_q16_r1,chioma__n16_r2,75506344.0
chioma__true_ctx_q16_r2,chioma__n0,23326658.0
chioma__true_ctx_q16_r2,chioma__n1_r0,34918420.0
chioma__true_ctx_q16_r2,chioma__n1_r1,47241768.0
chioma__true_ctx_q16_r2,chioma__n1_r2,37485000.0
chioma__true_ctx_q16_r2,chioma__n2_r0,63487400.0
chioma__true_ctx_q16_r2,chioma__n2_r1,64442832.0
