query_id,train_id,influence_score
pavel__true_ctx_q4_r0,pavel__n0,7532924.0
pavel__true_ctx_q4_r0,pavel__n1_r0,7887865.0
pavel__true_ctx_q4_r0,pavel__n1_r1,8666651.0
pavel__true_ctx_q4_r0,pavel__n1_r2,7887865.0
pavel__true_ctx_q4_r0,pavel__n2_r0,26468890.0
pavel__true_ctx_q4_r0,pavel__n2_r1,20845984.0
pavel__true_ctx_q4_r0,pavel__n2_r2,31448036.0
pavel__true_ctx_q4_r0,pavel__n4_r0,33400928.0
pavel__true_ctx_q4_r0,pavel__n4_r1,28107982.0
pavel__true_ctx_q4_r0,pavel__n4_r2,35468688.0
pavel__true_ctx_q4_r0,pavel__n8_r0,29116966.0
pavel__true_ctx_q4_r0,pavel__n8_r1,39555124.0
pavel__true_ctx_q4_r0,pavel__n8_r2,44283348.0
pavel__true_ctx_q4_r0,pavel__n16_r0,42269992.0
pavel__true_ctx_q4_r0,pavel__n16_r1,39522232.0
pavel__true_ctx_q4_r0,pavel__n16_r2,40571844.0
pavel__true_ctx_q4_r1,pavel__n0,8529531.0
pavel__true_ctx_q4_r1,pavel__n1_r0,8885307.0
pavel__true_ctx_q4_r1,pavel__n1_r1,9374713.0
pavel__true_ctx_q4_r1,pavel__n1_r2,8885307.0
pavel__true_ctx_q4_r1,pavel__n2_r0,35455896.0
pavel__true_ctx_q4_r1,pavel__n2_r1,23842090.0
pavel__true_ctx_q4_r1,pavel__n2_r2,37016316.0
pavel__true_ctx_q4_r1,pavel__n4_r0,40236752.0
pavel__true_ctx_q4_r1,pavel__n4_r1,35483520.0
pavel__true_ctx_q4_r1,pavel__n4_r2,44383652.0
pavel__true_ctx_q4_r1,pavel__n8_r0,32375800.0
pavel__true_ctx_q4_r1,pavel__n8_r1,45418552.0
pavel__true_ctx_q4_r1,pavel__n8_r2,55020724.0
pavel__true_ctx_q4_r1,pavel__n16_r0,50908464.0
pavel__true_ctx_q4_r1,pavel__n16_r1,46599688.0
pavel__true_ctx_q4_r1,pavel__n16_r2,48697552.0
pavel__true_ctx_q4_r2,pavel__n0,6757386.5
pavel__true_ctx_q4_r2,pavel__n1_r0,8277036.0
pavel__true_ctx_q4_r2,pavel__n1_r1,9391308.0
pavel__true_ctx_q4_r2,pavel__n1_r2,8277036.0
pavel__true_ctx_q4_r2,pavel__n2_r0,26250650.0
pavel__true_ctx_q4_r2,pavel__n2_r1,21228956.0
pavel__true_ctx_q4_r2,pavel__n2_r2,30557850.0
pavel__true_ctx_q4_r2,pavel__n4_r0,33672628.0
pavel__true_ctx_q4_r2,pavel__n4_r1,28371718.0
pavel__true_ctx_q4_r2,pavel__n4_r2,34376424.0
pavel__true_ctx_q4_r2,pavel__n8_r0,28440536.0
pavel__true_ctx_q4_r2,pavel__n8_r1,37434608.0
pavel__true_ctx_q4_r2,pavel__n8_r2,40645540.0
pavel__true_ctx_q4_r2,pavel__n16_r0,39214080.0
pavel__true_ctx_q4_r2,pavel__n16_r1,35438176.0
pavel__true_ctx_q4_r2,pavel__n16_r2,36864960.0
pavel__true_ctx_q16_r0,pavel__n0,9365440.0
pavel__true_ctx_q16_r0,pavel__n1_r0,9328185.0
pavel__true_ctx_q16_r0,pavel__n1_r1,9530022.0
pavel__true_ctx_q16_r0,pavel__n1_r2,9328185.0
pavel__true_ctx_q16_r0,pavel__n2_r0,31049018.0
pavel__true_ctx_q16_r0,pavel__n2_r1,22165898.0
pavel__true_ctx_q16_r0,pavel__n2_r2,37520220.0
pavel__true_ctx_q16_r0,pavel__n4_r0,43082116.0
pavel__true_ctx_q16_r0,pavel__n4_r1,35652264.0
pavel__true_ctx_q16_r0,pavel__n4_r2,45760276.0
pavel__true_ctx_q16_r0,pavel__n8_r0,39147316.0
pavel__true_ctx_q16_r0,pavel__n8_r1,56491568.0
pavel__true_ctx_q16_r0,pavel__n8_r2,65430412.0
pavel__true_ctx_q16_r0,pavel__n16_r0,64357676.0
pavel__true_ctx_q16_r0,pavel__n16_r1,64824492.0
pavel__true_ctx_q16_r0,pavel__n16_r2,63667036.0
pavel__true_ctx_q16_r1,pavel__n0,8302496.0
pavel__true_ctx_q16_r1,pavel__n1_r0,9298603.0
pavel__true_ctx_q16_r1,pavel__n1_r1,9589597.0
pavel__true_ctx_q16_r1,pavel__n1_r2,9298603.0
pavel__true_ctx_q16_r1,pavel__n2_r0,31263768.0
pavel__true_ctx_q16_r1,pavel__n2_r1,22111680.0
pavel__true_ctx_q16_r1,pavel__n2_r2,36130820.0
pavel__true_ctx_q16_r1,pavel__n4_r0,40664640.0
pavel__true_ctx_q16_r1,pavel__n4_r1,35803616.0
pavel__true_ctx_q16_r1,pavel__n4_r2,45034068.0
pavel__true_ctx_q16_r1,pavel__n8_r0,37692364.0
pavel__true_ctx_q16_r1,pavel__n8_r1,52321844.0
pavel__true_ctx_q16_r1,pavel__n8_r2,61865032.0
pavel__true_ctx_q16_r1,pavel__n16_r0,61166988.0
pavel__true_ctx_q16_r1,pavel__n16_r1,60004452.0
pavel__true_ctx_q16_r1,pavel__n16_r2,59416468.0
pavel__true_ctx_q16_r2,pavel__n0,9776168.0
pavel__true_ctx_q16_r2,pavel__n1_r0,9731420.0
pavel__true_ctx_q16_r2,pavel__n1_r1,9751930.0
pavel__true_ctx_q16_r2,pavel__n1_r2,9731420.0
pavel__true_ctx_q16_r2,pavel__n2_r0,33257742.0
pavel__true_ctx_q16_r2,pavel__n2_r1,23368864.0
pavel__true_ctx_q16_r2,pavel__n2_r2,39365196.0
pavel__true_ctx_q16_r2,pavel__n4_r0,44994792.0
pavel__true_ctx_q16_r2,pavel__n4_r1,37708196.0
pavel__true_ctx_q16_r2,pavel__n4_r2,48193768.0
pavel__true_ctx_q16_r2,pavel__n8_r0,41124288.0
pavel__true_ctx_q16_r2,pavel__n8_r1,59576292.0
pavel__true_ctx_q16_r2,pavel__n8_r2,68630336.0
pavel__true_ctx_q16_r2,pavel__n16_r0,67774048.0
pavel__true_ctx_q16_r2,pavel__n16_r1,68144408.0
pavel__true_ctx_q16_r2,pavel__n16_r2,67051104.0
